Ogrenci_ID,Ad,Soyad,Yas,Sehir,Uyelik_Tarihi,Plan
O001,Burak,Şahin,32,İzmir,2023-01-26,Pro
O002,Kerem,Demir,45,İstanbul,2024-11-23,Pro
O003,Elif,Arslan,19,Bursa,2023-08-12,Free
O004,Cansu,Şahin,46,Antalya,2024-07-12,Pro
O005,Zeynep,Polat,39,Antalya,2023-01-07,Premium
O006,Fatma,Demir,42,Ankara,2023-12-11,Free
O007,Tolga,Çelik,20,Adana,2023-12-19,Free
O008,Mehmet,Arslan,36,Konya,2024-01-23,Pro
O009,Ayşe,Şahin,36,Ankara,2023-03-13,Pro
O010,Berk,Çelik,47,Konya,2023-04-14,Premium
O011,Can,Çelik,22,İzmir,2023-12-30,Free
O012,Zeynep,Acar,42,Antalya,2023-09-08,Pro
O013,Kerem,Şahin,38,İstanbul,2024-10-17,Premium
O014,Emre,Polat,35,Ankara,2023-02-02,Free
O015,Emre,Şahin,49,Kayseri,2024-08-03,Free
O016,Onur,Kaya,34,İzmir,2024-10-20,Premium
O017,Kerem,Çelik,45,Kayseri,2024-07-28,Free
O018,Eda,Acar,23,İstanbul,2023-05-22,Free
O019,Zeynep,Polat,22,Kayseri,2023-06-06,Premium
O020,Eda,Çelik,18,Ankara,2024-04-24,Free
O021,Burak,Aydın,25,Antalya,2024-07-03,Pro
O022,Ahmet,Çelik,50,İzmir,2024-04-09,Pro
O023,Sude,Arslan,30,İzmir,2023-04-19,Pro
O024,Kerem,Arslan,18,Konya,2023-06-15,Free
O025,Selin,Çelik,33,İstanbul,2023-04-25,Pro
O026,Mehmet,Demir,49,Ankara,2024-08-03,Free
O027,Mustafa,Kaya,48,İzmir,2024-06-29,Premium
O028,Cansu,Şahin,30,Antalya,2024-09-13,Free
O029,Selin,Acar,46,Ankara,2024-11-18,Free
O030,Emre,Yılmaz,32,Bursa,2023-03-07,Free
O031,Ayşe,Şahin,22,İstanbul,2024-10-08,Free
O032,Eda,Şahin,35,Adana,2023-03-14,Premium
O033,Hande,Doğan,48,Bursa,2023-05-16,Free
O034,Can,Demir,24,Kayseri,2024-02-21,Premium
O035,Onur,Yılmaz,24,İstanbul,2024-02-25,Free
O036,Fatma,Şahin,30,Bursa,2023-12-14,Pro
O037,Cansu,Kaya,35,Adana,2023-05-24,Pro
O038,Onur,Arslan,24,İstanbul,2023-03-19,Free
O039,Ahmet,Demir,33,İzmir,2024-07-07,Pro
O040,Can,Polat,21,İzmir,2024-05-07,Pro
O041,Burak,Acar,36,Kayseri,2024-02-04,Free
O042,Deniz,Kaya,30,Antalya,2024-07-23,Pro
O043,Hande,Arslan,21,Konya,2023-03-01,Free
O044,Deniz,Arslan,28,İstanbul,2024-08-21,Free
O045,Zeynep,Demir,22,Bursa,2023-03-24,Premium
O046,Elif,Doğan,20,Ankara,2024-08-06,Pro
O047,Hande,Arslan,38,Antalya,2024-08-20,Pro
O048,Elif,Çelik,43,İzmir,2023-11-18,Free
O049,Onur,Aydın,22,İstanbul,2023-11-04,Pro
O050,Fatma,Demir,31,Antalya,2024-07-30,Pro
